,created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet,FechaFormato
493,Sun Feb 21 17:19:42 +0000 2021,José Luis Calahorrano,"RT @RinaCampainB: ¡Estamos en segunda vuelta!
#LassoPresidente2021 🇪🇨🇪🇨🇪🇨",,4,rt @rinacampainb segunda vuelta #lassopresidente2021 🇪🇨🇪🇨🇪🇨,rt  rinacampainb segunda vuelta  lassopresidente2021       ,Feb-21
494,Sun Feb 21 17:12:37 +0000 2021,Robert,RT @Gabriellnova: Me uno! Yo ofrezco una limpieza dental GRATIS a todo aquel que traiga una foto suya con la papeleta de su voto por @Lasso…,,3,rt @gabriellnova ofrezco limpieza dental gratis aquel traiga foto papeleta voto @lasso…,rt  gabriellnova ofrezco limpieza dental gratis aquel traiga foto papeleta voto  lasso ,Feb-21
495,Sun Feb 21 17:12:29 +0000 2021,E Pluribus Unum!,"RT @Davixxxo1: @ecuadorenvivo @CNEVice mucha demora llevo a estas irregularidades, la voluntad del pueblo debe respetarse #LassoPresidente2…",,1,"rt @davixxxo1 @ecuadorenvivo @cnevice mucha demora llevo irregularidades, voluntad pueblo debe respetarse #lassopresidente2…",rt  davixxxo1  ecuadorenvivo  cnevice mucha demora llevo irregularidades  voluntad pueblo debe respetarse  lassopresidente2 ,Feb-21
496,Sun Feb 21 17:12:27 +0000 2021,E Pluribus Unum!,"RT @Pedrinchi_90: @Expresoec El pueblo ya esta listo para la siguente etapa, la unidad por el cambio se hara con o sin personas que han ins…",,1,"rt @pedrinchi_90 @expresoec pueblo listo siguente etapa, unidad cambio hara personas ins…",rt  pedrinchi 90  expresoec pueblo listo siguente etapa  unidad cambio hara personas ins ,Feb-21
497,Sun Feb 21 17:12:24 +0000 2021,E Pluribus Unum!,"RT @LupAguirre: @8Hoyos @LuisIll97738727 @LassoGuillermo Efectivamente!
Vamos por el cambio
#LassoPresidente2021",,1,rt @lupaguirre @8hoyos @luisill97738727 @lassoguillermo efectivamente vamos cambio #lassopresidente2021,rt  lupaguirre  8hoyos  luisill97738727  lassoguillermo efectivamente vamos cambio  lassopresidente2021,Feb-21
498,Sun Feb 21 17:12:18 +0000 2021,E Pluribus Unum!,RT @Fernii_anda: @agenciaNDS Ecuador por el cambio!! 💪🏻 #LassoPresidente2021 https://t.co/7GVlPwNP62,,1,rt @fernii_anda @agenciands ecuador cambio 💪🏻 #lassopresidente2021,rt  fernii anda  agenciands ecuador cambio     lassopresidente2021,Feb-21
499,Sun Feb 21 17:12:15 +0000 2021,E Pluribus Unum!,"RT @LupAguirre: @CESARTERANPACH1 @KELVINGAME3 #LassoPresidente2021 mi estimado
Lo vamos a lograr. 🇪🇨💪 https://t.co/riTg4jreyr",,1,rt @lupaguirre @cesarteranpach1 @kelvingame3 #lassopresidente2021 estimado vamos lograr 🇪🇨💪,rt  lupaguirre  cesarteranpach1  kelvingame3  lassopresidente2021 estimado vamos lograr    ,Feb-21
500,Sun Feb 21 17:12:11 +0000 2021,E Pluribus Unum!,"RT @LupAguirre: @lafmmanizales Estamos del lado correcto
#LassoPresidente2021 https://t.co/nVHFuSkewJ",,1,rt @lupaguirre @lafmmanizales lado correcto #lassopresidente2021,rt  lupaguirre  lafmmanizales lado correcto  lassopresidente2021,Feb-21
501,Sun Feb 21 17:12:06 +0000 2021,E Pluribus Unum!,RT @JACC7709: @CarlosVerareal @EFTerranova @VERAZ_TWIT @LaPosta_Ecu @Caravana750 @RadioDibluFM Muchos que votamos x @LassoGuillermo no tení…,,1,rt @jacc7709 @carlosverareal @efterranova @veraz_twit @laposta_ecu @caravana750 @radiodiblufm votamos x @lassoguillermo tení…,rt  jacc7709  carlosverareal  efterranova  veraz twit  laposta ecu  caravana750  radiodiblufm votamos x  lassoguillermo tení ,Feb-21
502,Sun Feb 21 17:12:03 +0000 2021,E Pluribus Unum!,RT @moxiza: @NormanChecaE Ups! Que gil este tío... si encaja perfectamente para ser asambleísta o asesor por cualquiera de los bandos del C…,,1,rt @moxiza @normanchecae ups gil tío si encaja perfectamente ser asambleísta asesor cualquiera bandos c…,rt  moxiza  normanchecae ups gil tío si encaja perfectamente ser asambleísta asesor cualquiera bandos c ,Feb-21
