created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet
Wed Feb 17 18:45:17 +0000 2021,La Marea de Manta,"#ACTUALIDADES: Las elecciones en #Ecuador son una caricatura de transparencia, dice #YakuPérez ►►… https://t.co/osQHDewCXn",,0,"#actualidades elecciones #ecuador caricatura transparencia, dice #yakupérez ►►…", actualidades elecciones  ecuador caricatura transparencia  dice  yakupérez    
Wed Feb 17 18:45:16 +0000 2021,Alfonso Echeverri Llano,#YakuPérez Mentiroso.,,0,#yakupérez mentiroso, yakupérez mentiroso
Wed Feb 17 18:44:37 +0000 2021,8809,RT @IvanVelastegu1: El CNE no debería está controlado por partidos políticos! #NoAlFraude #YakuPerez https://t.co/mZEJZoxdDv,,1,rt @ivanvelastegu1 cne debería controlado partidos políticos #noalfraude #yakuperez,rt  ivanvelastegu1 cne debería controlado partidos políticos  noalfraude  yakuperez
Wed Feb 17 18:44:28 +0000 2021,Logon,#YakuPérez Estos políticos de cuarta que tenemos en este pobre Ecuador creen que las diferencias se resuelven como… https://t.co/FQpTuQZBHR,,0,#yakupérez políticos cuarta pobre ecuador creen diferencias resuelven como…, yakupérez políticos cuarta pobre ecuador creen diferencias resuelven como 
Wed Feb 17 18:43:31 +0000 2021,Félix Hurtado,"Y pensaban que iba a salir algo bueno de Pachacutik, ternuritas... #YakuPérez",,0,"pensaban iba salir bueno pachacutik, ternuritas #yakupérez",pensaban iba salir bueno pachacutik  ternuritas  yakupérez
Wed Feb 17 18:43:11 +0000 2021,Luis Adriano Calero,"Porque Álvaro Noboa piensa que apoyando a que no gane Lasso y Yaku haga show de niño chiquito, le sirve?

Es ilógic… https://t.co/86w1wZ00nz",,0,"álvaro noboa piensa apoyando gane lasso yaku haga show niño chiquito, sirve? ilógic…",álvaro noboa piensa apoyando gane lasso yaku haga show niño chiquito  sirve  ilógic 
Wed Feb 17 18:42:49 +0000 2021,ruben,#YakuPérez no somos los tontos útiles de Lasso...los lassistas que critican a Yaku nunca dijeron nada cuando Lasso… https://t.co/URv7uk5dZY,,0,#yakupérez tontos útiles lassolos lassistas critican yaku nunca dijeron lasso…, yakupérez tontos útiles lassolos lassistas critican yaku nunca dijeron lasso 
Wed Feb 17 18:41:55 +0000 2021,irevi,@MarcoAnibal jajajaja... este #yakuperez está loquito,,1,@marcoanibal jajajaja #yakuperez loquito, marcoanibal jajajaja  yakuperez loquito
Wed Feb 17 18:41:08 +0000 2021,Max Power,se fue al lado oscuro #yakuperez,,0,lado oscuro #yakuperez,lado oscuro  yakuperez
Wed Feb 17 18:40:54 +0000 2021,Tamayu,"RT @anybaldos: #YakuPerez es para el pais, lo mismo que Barcelona es para la #CopaLibertadores “el campeón moral, verdad? 🤔",,1,"rt @anybaldos #yakuperez pais, mismo barcelona #copalibertadores “el campeón moral, verdad? 🤔",rt  anybaldos  yakuperez pais  mismo barcelona  copalibertadores  el campeón moral  verdad   
Wed Feb 17 18:40:18 +0000 2021,👹🇪🇨🇺🇾,RT @carlosarcemino: #YakuPérez creyó que un pacto verbal con Lasso (al margen de la legalidad) sería respetado. El confió en Lasso es su cu…,,1,rt @carlosarcemino #yakupérez creyó pacto verbal lasso (al margen legalidad respetado confió lasso cu…,rt  carlosarcemino  yakupérez creyó pacto verbal lasso  al margen legalidad respetado confió lasso cu 
Wed Feb 17 18:39:58 +0000 2021,"𝓡𝓲𝓽𝓪, 𝓵𝓸𝓿𝓮𝓼 𝓐𝓷.♡",Alguien dele recogiendo la máscara al señor Pérez se le cayó por su sed de poder #YakuPerez https://t.co/qQQOgkTYOO,,0,alguien dele recogiendo máscara señor pérez cayó sed poder #yakuperez,alguien dele recogiendo máscara señor pérez cayó sed poder  yakuperez
Wed Feb 17 18:39:12 +0000 2021,Carlos Luis Jimenez Caputi,"Ya mejor #Arauz y #Lasso háganse a un lado y dejenlo ser presidente a @yakuperezg parece niño caprichoso, cuidemos… https://t.co/TYCyZKUzuD",,0,"mejor #arauz #lasso háganse lado dejenlo ser presidente @yakuperezg parece niño caprichoso, cuidemos…",mejor  arauz  lasso háganse lado dejenlo ser presidente  yakuperezg parece niño caprichoso  cuidemos 
Wed Feb 17 18:37:58 +0000 2021,D&A Amantes,RT @pame_stef: La diferencia entre Lasso y Yaku no son  miles de votos si no unos cuantos socialcristianos acostumbrados a manejar los sist…,,12,rt @pame_stef diferencia lasso yaku miles votos si cuantos socialcristianos acostumbrados manejar sist…,rt  pame stef diferencia lasso yaku miles votos si cuantos socialcristianos acostumbrados manejar sist 
Wed Feb 17 18:37:44 +0000 2021,Aníbal Aguilar,"#YakuPerez es para el pais, lo mismo que Barcelona es para la #CopaLibertadores “el campeón moral, verdad? 🤔",,1,"#yakuperez pais, mismo barcelona #copalibertadores “el campeón moral, verdad? 🤔", yakuperez pais  mismo barcelona  copalibertadores  el campeón moral  verdad   
Wed Feb 17 18:37:38 +0000 2021,LaReinaDeNarnia 🌹,"De Judas aprendimos que no todo el que besa, ama.

De #yakuperez aprendimos que las apariencias engañan.

Cuan mise… https://t.co/dThcwKBzoJ",,12,"judas aprendimos besa, ama #yakuperez aprendimos apariencias engañan cuan mise…",judas aprendimos besa  ama  yakuperez aprendimos apariencias engañan cuan mise 
Wed Feb 17 18:37:11 +0000 2021,El Libertario,Así será recordada la carrera política de #yakuperez para siempre... Como un correista cualquiera https://t.co/xAGRbFk7D3,,1,así recordada carrera política #yakuperez siempre correista cualquiera,así recordada carrera política  yakuperez siempre correista cualquiera
Wed Feb 17 18:36:58 +0000 2021,Greeningback,@linea_ec Yo vote por usted #yakuperez pero con esa actitud sólo demuestra su pobre corazón y sus ansias de poder.… https://t.co/ypgUlR9iVg,,0,@linea_ec vote usted #yakuperez actitud sólo demuestra pobre corazón ansias poder…, linea ec vote usted  yakuperez actitud sólo demuestra pobre corazón ansias poder 
Wed Feb 17 18:36:50 +0000 2021,Ivan Velasteguí,El CNE no debería está controlado por partidos políticos! #NoAlFraude #YakuPerez https://t.co/mZEJZoxdDv,,1,cne debería controlado partidos políticos #noalfraude #yakuperez,cne debería controlado partidos políticos  noalfraude  yakuperez
Wed Feb 17 18:36:14 +0000 2021,Boris,"RT @ecuadoratipico: El irresponsable de #yakuperez  está llevandonos a una guerra civil. 

Guarden este tuit.",,11,rt @ecuadoratipico irresponsable #yakuperez llevandonos guerra civil guarden tuit,rt  ecuadoratipico irresponsable  yakuperez llevandonos guerra civil guarden tuit
Wed Feb 17 18:34:44 +0000 2021,Renato Pachano .·.,"@yakuperezg favor dejar a un lado la sisaña, en éstos momentos hay que ser ecuánimes por el bien del país.
#yakuperez #Lasso",,0,"@yakuperezg favor dejar lado sisaña, éstos momentos ser ecuánimes bien país #yakuperez #lasso", yakuperezg favor dejar lado sisaña  éstos momentos ser ecuánimes bien país  yakuperez  lasso
Wed Feb 17 18:34:33 +0000 2021,🇪🇨Carlos Arce Miño🇪🇨,#YakuPérez creyó que un pacto verbal con Lasso (al margen de la legalidad) sería respetado. El confió en Lasso es s… https://t.co/0KtnUTiaFN,,1,#yakupérez creyó pacto verbal lasso (al margen legalidad respetado confió lasso s…, yakupérez creyó pacto verbal lasso  al margen legalidad respetado confió lasso s 
Wed Feb 17 18:33:19 +0000 2021,Sofía Merino R,"Mientras se lanzan la piedra unos a otros los que perdemos somos los ecuatorianos, pierde el país.
Me dueles 🇪🇨… https://t.co/CRA1z8yy5n",,3,"mientras lanzan piedra perdemos ecuatorianos, pierde país dueles 🇪🇨…",mientras lanzan piedra perdemos ecuatorianos  pierde país dueles    
Wed Feb 17 18:32:41 +0000 2021,Jimmy Real Flores,"En esta ocasión no se necesitó una 3era persona para aplicar la frase: ""Divide y vencerás"". Los mismos protagonista… https://t.co/Y6U2fIB6Ud",,0,"ocasión necesitó 3era persona aplicar frase ""divide vencerás"" mismos protagonista…",ocasión necesitó 3era persona aplicar frase  divide vencerás  mismos protagonista 
